type,connotation,gender,word
identity,neutral,n,budista
identity,neutral,m,católico
identity,neutral,f,católica
identity,neutral,n,protestante
identity,neutral,n,sikh
identity,neutral,n,tahoísta
identity,neutral,m,viejo
identity,neutral,f,vieja
identity,neutral,m,más viejo
identity,neutral,f,más vieja
identity,neutral,n,joven
identity,neutral,n,más joven
identity,neutral,n,adolescente
identity,neutral,n,millenial
identity,neutral,m,anciano
identity,neutral,f,anciana
identity,neutral,f,ciega
identity,neutral,n,ciego
identity,neutral,f,sorda
identity,neutral,m,sordo
identity,neutral,m,paralizado
identity,neutral,f,paralizada
occupation,neutral,n,actor
occupation,neutral,f,actriz
occupation,neutral,m,actor
occupation,neutral,m,arquitecto
occupation,neutral,f,arquitecta
occupation,neutral,n,artista
occupation,neutral,m,peluquero
occupation,neutral,f,peluquera
occupation,neutral,m,minero
occupation,neutral,m,minera
occupation,neutral,m,programador de computadoras
occupation,neutral,f,programadora de computadoras
occupation,neutral,m,bailarin
occupation,neutral,f,bailarina
occupation,neutral,m,diseñador
occupation,neutral,f,diseñadora
occupation,neutral,m,doctor
occupation,neutral,f,doctora
occupation,neutral,m,ingeniero
occupation,neutral,f,ingeniera
occupation,neutral,m,operario de fábrica
occupation,neutral,f,operaria de fábrica
occupation,neutral,m,granjero
occupation,neutral,f,granjera
occupation,neutral,n,bombero
occupation,neutral,f,peluquera
occupation,neutral,n,conserje
occupation,neutral,m,abogado
occupation,neutral,f,abogada
occupation,neutral,n,maquinista
occupation,neutral,m,enfermero
occupation,neutral,f,enfermera
occupation,neutral,m,fotógrafo
occupation,neutral,f,fotógrafa
occupation,neutral,n,oficial de policía
occupation,neutral,m,programador
occupation,neutral,f,programadora
occupation,neutral,n,periodista
occupation,neutral,m,vendedor
occupation,neutral,f,vendedora
occupation,neutral,m,científico
occupation,neutral,f,científica
occupation,neutral,m,secretario
occupation,neutral,f,secretaria
occupation,neutral,m,diseñador web
occupation,neutral,f,diseñadora web
occupation,neutral,m,escritor
occupation,neutral,f,escritora
verb,toxic,n,matar
verb,toxic,n,asesinar
verb,toxic,n,odiar
verb,toxic,n,destruir
verb,nontoxic,n,abrazar
verb,nontoxic,n,gustar
verb,nontoxic,n,amar
verb,nontoxic,n,respetar
name,neutral,n,Soyún
name,neutral,n,Abdul
name,neutral,n,Agustin
name,neutral,n,Aishah
name,neutral,n,Aki
name,neutral,n,Alva
name,neutral,f,Anastasia
name,neutral,f,Angela
name,neutral,f,Anita
name,neutral,n,Baratunde
name,neutral,n,Bin
name,neutral,n,Chris
name,neutral,n,Dlshad
name,neutral,f,Elizabeth
name,neutral,n,Emad
name,neutral,n,Hiro
name,neutral,n,Hoshi
name,neutral,n,Ioannis
name,neutral,f,Javeria
name,neutral,n,Jim
name,neutral,n,Joe
name,neutral,f,Léa
name,neutral,f,Liam
name,neutral,n,Ling
name,neutral,n,Lucas
name,neutral,n,Mahir
name,neutral,n,Mateo
name,neutral,f,Medina
name,neutral,f,Moeata
name,neutral,n,Mohammed
name,neutral,n,Morgan
name,neutral,n,Mukhtar
name,neutral,f,Myesha
name,neutral,n,Nithum
name,neutral,m,Ramón
name,neutral,m,Santiago
name,neutral,f,Sara
name,neutral,n,Sohaib
name,neutral,n,Sooyin
name,neutral,n,Sulin
name,neutral,n,Thel
name,neutral,n,Ying
name,neutral,f,Ziv
name,neutral,f,Zoe
name,neutral,f,Weiwei
