rev_id	comment	is_toxic	split
wikipedia_random10452649_Environmental Defence Society_33	"""Castles in the Sand: What’s happening to the New Zealand coast?"""	False	train
wikipedia_random37537949_Anorthosis Famagusta FC in European football_23	The titular goal of Anorthosis noted Ketsbaia and coach had the Georgian Koutsaef.	False	test
wikipedia_random898066_Shichigahama_24	Modern Shichigahama developed as the seven coastal settlements that now give the town its name and the village of Shichigahama was officially established in 1889 with the post-Meiji restoration establishment of the modern municipalities system..	False	train
wikipedia_random998297_L and M-class destroyer_54	Type 982 and 983 air direction radars would be fitted, as would Type 162 and 166 sonars.	False	dev
wikipedia_random6033889_Bullets & Lipstik (EP)_6	Proud To Be Loud.	False	test
wikipedia_random23324_Platinum_178	In the 18th century, platinum's rarity made King Louis XV of France declare it the only metal fit for a king.	False	test
wikipedia_random27952040_Diane Wilkins_5	A Gathering Storm (2009).	False	train
wikipedia_random33868859_One Way (American band)_7	"They released the album Happy Feet as Al Hudson and the Partners in 1979 which contains the R&B hit ""You Can Do It"" which was co-penned by Myers and a top 15 hit in the UK."	False	test
wikipedia_random15285504_Virginie-class frigate_38	Builder: Saint Malo.	False	dev
wikipedia_random966244_Burroughs MCP_231	An important part of the operations environment is the high-level Work Flow Language.	False	train
wikipedia_random43076148_Los Angeles Pacific Railroad_82	Colorado Street Railway sold the line to the Pasadena and Los Angeles Electric Railway, who electrified the line.	False	train
wikipedia_random95534_Pulaski County, Kentucky_97	Brent Woods, (1855–1906), Sergeant, United States Army, Medal of Honor recipient.	False	train
wikipedia_random794540_Chuckle Brothers_17	In 2008, ChuckleVision was nominated by public vote in the BAFTA Kids' Vote for best television series as part of the British Academy Children's Awards.	False	train
wikipedia_random12633058_Wrestling at the 1912 Summer Olympics – Men's Greco-Roman featherweight_24	This left only Koskelo and Leivonen undefeated, with 3 men having their first loss in this round and 3 (including Haapanen, who had a bye) continuing to remain at one loss.	False	dev
wikipedia_random97827_County Limerick_247	There are 2,322 Irish speakers in County Limerick attending the six Gaelscoil (Irish language primary schools) and three Gaelcholáiste (Irish language secondary schools).	False	test
wikipedia_random12404771_Thorius smithi_2	Its natural habitats are cloud and tropical forests where it occurs on the ground under rocks and logs.	False	test
wikipedia_random35455613_Nishinoshima (Ogasawara)_35	"In December, the new island grew larger than ""old"" Nishinoshima."	False	dev
wikipedia_random20948447_Jan Reker_15	Later, he also served as youth coach and academy director at PSV Eindhoven.	False	dev
wikipedia_random1353689_Henry G. Shirley Memorial Highway_26	"This jumble of highways in Springfield, Virginia, where I-395, I-95, and the Capital Beltway meet, is officially called the ""Springfield Interchange."""	False	dev
wikipedia_random6091448_Washington University School of Law_38	This program is a graduate program designed for non-lawyers.	False	train
wikipedia_random53833070_Moustique_3	It is published weekly.	False	train
wikipedia_random13920327_Mongol invasions of India_5	The Mongol commander Bala chased Jalal ad-Din throughout the Punjab region and attacked outlying towns like Bhera and Multan and had even sacked the outskirts of Lahore.	False	train
wikipedia_random2095652_Pennsylvania Route 61_116	PA 225 curves away to the west and the route bends northwest and widens to a four-lane divided highway, passing southwest of the residential community of Uniontown and curving to the west.	False	train
wikipedia_random10389878_Randi Patterson_0	Randi Patterson (born April 16, 1985) is a Trinidadian footballer.	False	train
wikipedia_random3280552_Brian Stack_62	The job would have Stack moving back to New York, where Stack had previously worked on Late Night with Conan O'Brien.	False	train
wikipedia_random43870116_Ounjougou_11	From 2005, research was progressively expanded to the Bandiagara Cliff and the Séno Plain with the aim of testing the settlement model defined at Ounjougou and understanding the different gaps shown in the Yamé Valley sequence.	False	dev
wikipedia_random24438846_National Mining University of Ukraine_17	Over the 100 years of the university's existence more than 56,000 highly qualified specialists have been prepared, more than 500 monographs and 250 study-books widely known beyond Ukraine have been published, and about 150 Doctors of science and more than 1,750 Candidates of science have been trained.	False	test
wikipedia_random206813_Aero Airlines_15	Aero Airlines operated services to the following scheduled destinations (at December 2007): Helsinki, Tallinn, Turku and Vaasa.	False	train
wikipedia_random42607622_Thomas Turner (surgeon)_19	On 31 July 1832 Turner laid the foundation of a new and larger lecture-theatre, which was opened in the following October.	False	dev
wikipedia_random31318094_Johan Snapper_2	Johan Snapper's parents, Hendrikus and Martha Snapper, were active in the Dutch resistance in Naaldwijk, South Holland.	False	train
wikipedia_random20517696_Kennaway House_12	National Lottery funding was obtained in 2006 to cover half the cost and grants made by the Town, District and County Councils and a number of private foundations.	False	test
wikipedia_random54114787_Canton of Saint-Alban-Leysse_5	Aillon-le-Vieux.	False	train
wikipedia_random6048199_Isradipine_38	"""""Isradipine and Anzemet Drug Interactions""""."	False	train
wikipedia_random21476679_Herculaneum_19	Other important deities worshipped include Venus and Apollo.	False	train
wikipedia_random33871017_Shipilovskaya_21	In late August 2011 Shipilovskaya street was asphalted.	False	train
wikipedia_random19935113_Marginal Pinheiros_0	Marginal Pinheiros (officially SP-015) is a section of this highway that runs through the city of São Paulo, Brazil.	False	train
wikipedia_random381259_Metropolitan Borough of Islington_0	Islington was a civil parish and metropolitan borough in London, England.	False	train
wikipedia_random21984412_Jakob Fuglsang_22	In June 2017 Fuglsang won the Critérium du Dauphiné with a strong performance on the 8th stage.	False	train
wikipedia_random25251921_Penns Valley Area School District_1289	"""Real Estate Tax Millage by School District,""."	False	test
wikipedia_random76361_Snow White and the Seven Dwarfs (1937 film)_198	The Blu-ray includes a high-definition version of the movie sourced from a new restoration by Lowry Digital, a DVD copy of the film, and several bonus features not included on the 2001 DVD.	False	train
wikipedia_random107407_Martinez, California_109	The beavers and their dam became a local attraction.	False	train
wikipedia_random1077911_Agnes Varis_28	Varis made numerous contributions to Tufts University Cummings School of Veterinary Medicine, sponsoring graduate research fellowships as well as facilities throughout the school, among them the Agnes Varis Lecture Hall, the Agnes Varis Campus Center and Auditorium, and the Varis Cat Ward in the Foster Hospital for Small Animals.	False	train
wikipedia_random43554599_Speed limits in the United States by jurisdiction_954	The speed limit for school zones is 20 mph, 30 mph in urban districts and residential areas, 70 mph for other paved roads, and 55 mph for unpaved roads.On I-80 in Evanston and Cheyenne, I-25 in Cheyenne and Casper, and I-90 in Buffalo, the speed limit is 65 mph.	False	test
wikipedia_random13703842_Black Theatre (Sydney)_239	Johnson also played a pivotal role in the establishment in 1989 of the Bangarra Dance Theatre.	False	train
wikipedia_random54662374_Jimmy Ray Bennett_9	In 2006 He won the World Domination Improv Tournament in Atlanta, along with The Nuclear Family.	False	train
wikipedia_random19350340_Operation Dexterity_15	This operation was never undertaken and replaced by Operation Director.	False	dev
wikipedia_random19286281_Kaanchi Thalaivan_0	Kanchi Thalaivan (English: The Head of Kanchi) is a 1963 Tamil language historical action film directed by A. Kasilingam.	False	train
wikipedia_random49553727_Micro enterprise tax in Latvia_9	So Latvian parliament adopted legislation amendments.	False	train
wikipedia_random25282228_Juan José Tamayo_38	Barcelona, Ediciones B.	False	train
wikipedia_random51335199_2016 Kazakhstan President Cup (football)_59	"""The teams which took 1, 2 and 3 place will be received, respectively 7,000, 5,000 and 3,000 $."	False	train
wikipedia_random20837494_Experimental High School Attached to Beijing Normal University_3	The school is known by some Chinese of a certain age for the torture and murder of a deputy principal, Bian Zhongyun, by the students, who became the first victim of the Cultural Revolution.	False	dev
wikipedia_random26268591_Jesús Jiménez Barbero_30	In 2008 Prize of the NMR group of RSEQ.	False	dev
wikipedia_random25058540_Martin Warner (bishop)_8	Honorary Canon of Norwich Cathedral (2000–?).	False	train
wikipedia_random39193767_2013 New York City Marathon_20	Deba and Tufa maintained their lead after 16 mi (26 km), as the race entered Manhattan.	False	train
wikipedia_random37135384_Salt Lake Lions_6	The first Salt Lake Lions' tryouts were held October 5 and 12, 2013.	False	train
wikipedia_random19932268_Purton, Berkeley_7	The ferry, known as Purton Passage, continued in use until 1879, when it was replaced by the Severn Railway Bridge.	False	train
wikipedia_random23760729_Christ Church, Vienna_76	Kendrick, the Gestapo's main target, was also arrested.	False	train
wikipedia_random7341_Cowboy Bebop_224	"Daryl Surat of Otaku USA, commenting on the series' appeal, said that it was ""that rare breed of science-fiction: ""accessible""."	False	dev
wikipedia_random46846177_Wujing (The Blacklist)_12	The episode garnered a 3.1/9 Nielsen rating with 11.18 million viewers, making it the highest rated show in its time slot and the seventh most watched television show of the week.	False	dev
wikipedia_random48592539_Leung Chi Wo Warren_160	Microwave International Media Art Festival 2001, City Hall, Hong Kong, 2001.	False	train
wikipedia_random34505648_Belinda Wright (dancer)_11	She died of coronary complications in Zurich at the age of 78.	False	train
wikipedia_random23976719_Football_122	"Wedderburn refers to what has been translated into modern English as ""keeping goal"" and makes an allusion to passing the ball (""strike it here"")."	False	dev
wikipedia_random36866461_Carron Greig_7	One of his colleagues at Horace Clarkson was Sir Alexander Glen.	False	train
wikipedia_random326299_Stockton and Darlington Railway_129	After the S&DR bought out the coach companies in August 1832, a mixed passenger and small goods service began between Stockton and Darlington on 7 September 1833, travelling at 12–14 miles per hour (19–23 km/h); locomotive-hauled services began to Shildon in December 1833 and to Middlesbrough on 7 April 1834.	False	train
wikipedia_random9715919_Enoch Seeman_1	His father, also Enoch was born around 1661, and the Seeman family were painters.	False	train
wikipedia_random11356909_The Hot Rod Dogs and Cool Car Cats_6	He managed to escape and join the resistance movement.	False	train
wikipedia_random3616653_Alzira (opera)_44	"He, while understanding (Eterna la memoria / ""The eternal memory of a desperate love is weighing her down ...""), urges the older man to try to persuade her (Quanto un mortal può chiedere / ""Whatever a mortal man can ask for.."")."	False	train
wikipedia_random8875221_Tanna Devei Eliyahu_80	of the first part.	False	train
wikipedia_random47173281_Archibald Forsyth_8	Forsyth died at Randwick in 1908.	False	test
wikipedia_random31902_Universalism_140	Although Sikhism does not teach that men are created as an image of God, it states that the essence of the One is to be found throughout all of its creation.	False	test
wikipedia_random1296482_Crossroads (1986 film)_71	Ry Cooder said he spent a year working on the soundtrack.	False	dev
wikipedia_random40749303_TeamTO_13	2016: Angelo Rules (Season 3).	False	train
wikipedia_random1980440_Esmeraldas, Ecuador_16	In 1987, the refinery was expanded for the first time to 90,000 barrels per day (14,000 m³/d).	False	train
wikipedia_random26039006_Josip Šikić_1	A product of Dinamo Zagreb academy, Šikić played for the Blues from 1953 to 1962, appearing in 153 Yugoslav First League matches and scoring 3 goals.	False	train
wikipedia_random25742307_Melon (band)_5	"Do The Pithecan - Happy Age (1984) (12"", Pin) Fuzz Dance Records."	False	dev
wikipedia_random519047_International Workers' Association_119	The IWA grew throughout the decade, adding two new groups from Japan and Brazil (Confederação Operária Brasileira|COB).	False	train
wikipedia_random43017580_Cleonus_1464	Cleonus simulans Faust, 1883.	False	train
wikipedia_random4130962_Haplogroup M (mtDNA)_128	Haplogroup M27  - found in Melanesia.	False	dev
wikipedia_random5029708_Armenians in Russia_116	Semyon Kirlian (1898–1978), founder of Kirlian photography; discovered that living matter is emitting energy fields.	False	train
wikipedia_random21633190_Konstantin Gorovikov_1	Player of the Russia national team.	False	train
wikipedia_random40680056_Bryan Johnson (entrepreneur)_26	Nine months after accepting a management position at Sears, Johnson formed Braintree and approached some of his old customers to solicit their business.	False	dev
wikipedia_random54155790_Georgina King_8	King was an original member of the Women's Club.	False	dev
wikipedia_random24006203_Herbert Lomas (actor)_12	Java Head (1934).	False	test
wikipedia_random19858071_Zakrzewek, Masovian Voivodeship_0	Zakrzewek [zaˈkʂɛvɛk] is a village in the administrative district of Gmina Ostrów Mazowiecka, within Ostrów Mazowiecka County, Masovian Voivodeship, in east-central Poland.	False	train
wikipedia_random24340169_FF Giza_14	Biggest win: NÍF – KÍ II 9–1.	False	test
wikipedia_random36119603_Gloria Johnson (activist)_15	Johnson has been recognized by numerous organizations for her efforts in the LGBT movement.	False	train
wikipedia_random66964_Pittsburgh Penguins_449	Mario Lemieux (1986, 1988, 1999).	False	train
wikipedia_random6068_Common Lisp_630	Others compile to interpreted bytecode, which is less efficient than native code, but eases binary-code portability.	False	dev
wikipedia_random44589079_Politics of New York City_66	A 1915 referendum giving women the vote was defeated by city and state voters, but in 1920 the 19th Amendment to the U.S. Constitution was signed into law, guaranteeing women throughout the United States the right to vote.	False	test
wikipedia_random44268016_Norwood–Port Adelaide rivalry_30	A spot had finally opened and it was announced that in 1997, one year later than expected, Port Adelaide would enter the AFL.	False	dev
wikipedia_random9424939_Milton Township, Mahoning County, Ohio_10	Paris Township, Portage County - northwest corner.	False	test
wikipedia_random2802847_Wealth management_13	Individuals are more likely to face a variety of taxes on investment returns that vary by locality.	False	train
wikipedia_random41657698_John Ipstones_162	In July 1401 Maud and Savage initiated proceedings against Elizabeth and the court ordered her to restore the estate to them.	False	train
wikipedia_random35937151_Too Many Detectives_9	Hyatt states that the client had come to see him shortly before the day's meetings were to begin, introduced himself as William A. Donahue, and said that he wanted to give information on some illegal wiretaps he had arranged - including the one performed by Wolfe.	False	test
wikipedia_random27976338_Carlo Strenger_51	He also analyzes the complex, guilt-ridden relation between Europe and Israel, and claims that the Middle Eastern conflict is, among others, intractable because of the exclusive claim of monotheistic religions to absolute truth.	False	train
wikipedia_random27978764_Trainwreck: My Life as an Idiot_15	Jeff's parents guess that the cause was faulty wiring.	False	train
wikipedia_random40460254_Henry Barnes Gresson_36	Upon his return, Gresson turned to farming.	False	train
wikipedia_random38852755_Tron Frede Thingstad_10	PMC 184418.	False	train
wikipedia_random9109135_Pitshill_3	The rectangular house of two stories with an attic and basement has a main east facing façade built in 1760 to a design by John Upton, the Petworth Estate surveyor.	False	train
wikipedia_random29657001_Friedrich Heinrich Kern_16	Arrangement for Harmoniemusik after themes by Giuseppe Verdi - 2003	False	train
wikipedia_random47471181_Tirupandurai Sivanandeswarar Temple_0	Tirupandurai Sivanandeswarar Temple (திருப்பந்துறை சிவானந்தேசுவரர் கோயில் ])is a Hindu temple located at Tirupandurai in Thanjavur district, Tamil Nadu, India.	False	train
wikipedia_random3091689_Gary Pinkel_8	Pinkel and Alabama head coach Nick Saban were college teammates.	False	train
wikipedia_random260435_Bloomington, Wisconsin_17	The population density was 541.2 people per square mile (208.2/km²).	False	train
wikipedia_random6570377_123 (interbank network)_0	"Egyptian Banks Co. for Technological Advancement (EBC) provides the banking community in Egypt with a shared cash network commercially called ""123""."	False	train
wikipedia_random707844_Presto Studios_31	Myst III: Exile Myst III: Exile.	False	dev
wikipedia_random7496195_Patrick Roscoe_8	He has claimed to have no friends, no hobbies, no spouse, no lovers, no children, and no interests outside writing, regarding isolation as being important to him as a writer.	False	train
wikipedia_random48727875_FC UTA Arad_105	Ionuț Popa.	False	train
wikipedia_random49455289_String Quartet No. 15 (Villa-Lobos)_22	Also issued as part of Villa-Lobos: Os 17 quartetos de cordas / The 17 String Quartets.	False	train
wikipedia_random43490841_2014–15 UAB Blazers men's basketball team_2	They were members of Conference USA.	False	test
wikipedia_random31374106_2004 Desafío Corona season_5	Pontiac won 13 of 14 runs and the championship.	False	dev
wikipedia_random12232705_General Aircraft Cagnet_4	The low cantilever wings featured a gull shape, with twin booms mounted, one at each wing's bend point.	False	train
wikipedia_random710240_Samson Agonistes_167	Samson's blindness, however, is in no way a direct analogy to Milton's.	False	train
wikipedia_random2409753_Pines of Rome_42	In addition to Sergei Prokofiev and Gustav Holst, film composer John Williams cites Respighi as a great influence, and his music for the Planet Krypton, heard early on in the film Superman, was strongly modeled after the fourth movement of this piece.	False	test
wikipedia_random1198672_Hip-O Records_16	Hip-O Select, Hip-O's limited edition reissue label, has released remastered classics by artists including Chuck Berry, Bo Diddley, Etta James, The Miracles, Tammi Terrell, and Muddy Waters.	False	dev
wikipedia_random4535498_David Berkowitz_349	During June 2005, Berkowitz sued one of his previous lawyers for the misappropriation of a large number of letters, photographs, and other personal possessions.	False	dev
wikipedia_random43705029_2014 BRD Brasov Challenger – Doubles_3	Flavio Cipolla /  Laurynas Grigelis (First round)  Q = Qualifier.	False	dev
wikipedia_random2706016_Linienzugbeeinflussung_144	Automatic drive/brake control: When enabled by the driver, the automatic drive/brake control unit (AFB) will drive the train following the permitted speed.	False	test
wikipedia_random470022_Leigh Matthews_7	Part of a footballing family, Matthews' brother Kelvin had played 155 games at Hawthorn and Geelong.	False	train
wikipedia_random109245_Ruskin, Florida_67	In 1960, Ruskin was still very rural.	False	train
wikipedia_random20738697_University of Ghana Primary School Legon_4	There is a broad curriculum at all levels in the school.	False	test
wikipedia_random151848_Human intelligence (intelligence gathering)_356	However, the U.S. Security clearance process has several problems:.	False	train
wikipedia_random2968153_Moondog Spot_10	Booker held the title along with Moondog Rex until they were defeated by Rick Martel and Tony Garea on July 21, 1981.	False	train
wikipedia_random22074908_St Materiana's Church, Tintagel_90	Ivan Henry Gregory s.s.c.	False	test
wikipedia_random23663973_Lanarkshire derby_8	Owen Coyle, Alan Gow, Lee Hollis and Kenny Black are examples of players that have played for both clubs.	False	train
wikipedia_random49532051_Evelyn Gresham_7	He was a regular for both teams over the remainder of the decade, although he took more than two wickets in an innings on only two occasions after his debut.	False	test
wikipedia_random35573286_Flavianus Michael Malke_21	On Sunday, 30 September 2012, a report was submitted to Rome by the Syriac Catholic Patriarch for Mar Michael Malke's beatification.	False	train
wikipedia_random395918_Royal Geographical Society_113	The Manuscript archive collection consists of material arising out of the conduct of Society business and manuscripts relating to persons or subjects of special interest.	False	train
wikipedia_random19062147_Live in Glasgow (New Order video)_17	"""Perfect Kiss""."	False	train
wikipedia_random21337088_Bob Wiesler_12	He spent most of the 1957 season with Triple-A Richmond Virginians, where he went 12-12 with a 3.75 ERA in 33 games.	False	dev
wikipedia_random1116062_Santiago Solari_0	Santiago Hernán Solari Poggio (born 7 October 1976) is an Argentine retired footballer who played mostly as a left midfielder, and the current manager of Real Madrid Castilla.	False	train
