rev_id	comment	is_toxic	split
wikipedia158691_Radical Faeries_39	"Queer as Folk episode ""Stand Up for Ourselves"" features a storyline where the characters Emmett and Michael attend a rural gathering to discover their ""inner Faerie."""	False	train
wikipedia22087730_Buddhism and sexuality_1	Still, Some Buddhists of Asian background hold prejudices against gay/lesbian or transgender persons, despite no saying that same or opposite gender relations have anything to do with sexual misconduct in the Early Buddhist scriptures and many later Buddhist texts.	False	train
wikipedia2341_Alkaloid_0	"The term ""morphine"", used in English and French, was given by the French physicist Joseph Louis Gay-Lussac."	False	test
wikipedia14987622_John R. Gordon_6	It is about a gay Jamaican reggae producer on the run from gangsters.	False	test
wikipedia19186899_Gay pornography_96	"Kendall, Christopher N. (2011), ""The harms of gay male pornography"", in Tankard Reist, Melinda; Bray, Abigail, Big Porn Inc.: exposing the harms of the global pornography industry, North Melbourne, Victoria: Spinifex Press, pp."	False	train
wikipedia31294700_LGBT demographics of the United States_15	"Smith's 2003 analysis of National Opinion Research Center data states that 4.9% of sexually active American males have had a male sexual partner since age 18, but that ""since age 18 less than 1% are [exclusively] gay and 4+% bisexual""."	False	train
wikipedia1687710_Alfonso López Trujillo_0	He was also a strong opponent of gay marriage, abortion (a stance that won him much praise and support from groups such as the Society for the Protection of Unborn Children) and embryological research, warning Catholics involved in the creation of embryos as part of IVF treatment for infertility that they would be excommunicated.	False	train
wikipedia12046964_American Family Ass'n v. City and County of San Francisco_2	"The resolution asserted that the organizations ""promote an agenda which denies basic equal rights for gays and lesbians and routinely state their opposition to toleration of gay and lesbian citizens"" and stated that a ""prominent San Francisco newspaper"" chose to accept and publish a printed advertisement campaign."	False	dev
wikipedia20211250_Save Our Children_73	Gay activists were also split in strategy, much like in Miami.	False	train
wikipedia10170329_Aidan Mitchell_0	He is best known for his role on the FX series The Riches as Sam, the young transgender daughter of Wayne and Dahlia Malloy.	False	train
wikipedia936452_Hen (manga)_1	Still, the anime follows the manga fairly closely through chapter 17, and Chizuru, while not normally a lesbian, is clearly infatuated with Azumi.	False	test
wikipedia22750197_Who Am I? (2009 film)_0	(Khmer: ខ្ងុំជាអ្នកណា,Kyom Chear Nak Na) is the debut Cambodian lesbian-themed tragic romance film by writer and director Khmer novelist, Phoan Phoung Bopha.	False	train
wikipedia53563841_Brigham Young University LGBT history_34	1976 – The church-operated university BYU began a purge in January to expel homosexual students under the direction of president Oaks.	False	dev
wikipedia51485793_Signature Move_3	The film features Fawzia Mirza as Muslim lesbian woman and Shabana Azmi as her mother.	False	train
wikipedia5201317_Nida Blanca_0	In the movies, she has played everything from a guy-punching lesbian to a nun.	False	train
wikipedia53563841_Brigham Young University LGBT history_19	An informal poll of students in 1991 by an independent BYU newspaper found that 5% of students identified their sexual orientation as gay and 22% of all students knew of a BYU student who was gay or lesbian.	False	test
wikipedia47631650_Media portrayals of bisexuality_7	The mini-series is about a gay man who falls in love with a straight woman, and is based on the experience of a friend of Davies.	False	dev
wikipedia40332963_Tiernan Brady_2	In 2012 he led the successful bid for Dublin to host the 15th Annual Conference of the International Lesbian and Gay Association - Europe (ILGA-Europe) and chaired the conference organising committee.	False	train
wikipedia5810035_Jenny Schecter_4	"In the book Blood Moon's GT Gay and Lesbian Film, Darwin Porter brands Jenny ""one of the most annoying, needy characters on television"" and calls her a ""lost damaged soul""."	False	dev
wikipedia7550053_Outfest_2	Lesbian Narrative Feature.	False	train
wikipedia21237721_Invasion of the Pod People_0	For example, Melissa's supervisor Samantha seduces her into a passionate lesbian encounter, even though Samantha had never shown any signs of being a lesbian.	False	train
wikipedia89662_Margaret Cho_4	"The premiere performance of Cho's ""Beautiful"" tour was on February 28, 2008, in Sydney, Australia as part of the Gay and Lesbian Mardi Gras Festival."	False	test
wikipedia2400259_Queer (song)_9	"Manson later explained, ""It's not, as you might think, to do with being gay, but tolerance."	False	train
wikipedia18491055_Young, Jewish, and Left_1	Steve Quester – Early-childhood educator and queer Jewish activist.	False	train
wikipedia1961039_Karl Dietrich Bracher_0	Die deutsche Diktatur: Entstehung, Struktur, Folgen des Nationalsozialismus, 1969, translated into English by Jean Steinberg as The German Dictatorship; The Origins, Structure, and Effects of National Socialism; New York, Praeger 1970, with an Introduction by Peter Gay.	False	test
wikipedia286404_Bowers v. Hardwick_17	“The only claim properly before the Court, therefore, is Hardwick’s challenge to the Georgia statute as applied to consensual homosexual sodomy.	False	test
wikipedia1530409_LGBT themes in video games_31	Some video game companies are now moving to further expand their marketing base to include the perceived market of affluent homosexual young men by including LGBT characters and supporting LGBT rights.	False	train
wikipedia229818_Tallulah Bankhead_3	However, Bankhead did not go gently into the night — the legend which had ruined her career made her an enormously popular icon in both the theatrical and particularly the gay community.	False	train
wikipedia46476782_Transgender people and military service_33	While gay, lesbian, and bisexual service members were allowed to serve openly since 2011, transgender service members risked discharge if they did not pass as their assigned sex.	False	train
wikipedia20515023_Neuroscience and sexual orientation_47	The same regions also showed thinner cortex in heterosexual women than in heterosexual men, whereas no differences were found between heterosexual women and homosexual men.	False	dev
wikipedia48600632_L'Aube (newspaper)_5	From 1934 the journal was the joint work of Gay and Bidault.	False	train
wikipedia20928962_Blue discharge_3	The psychiatrists responsible for creating and implementing screening procedures to exclude homosexuals from military service initially supported giving gay service members blue discharges.	False	train
wikipedia591699_Drag (clothing)_2	Drag queens (first use in print, 1941) are stereotypically viewed to be gay men that dress in drag, either as part of a performance or for personal fulfillment.	False	test
wikipedia38342293_Maya Avant_19	Like many others, Mosley herself questioned why the series didn't hire a transgender actress to portray Maya.	False	train
wikipedia292314_Ex-gay movement_22	John Paulk, then leader of Focus on the Family's Love Won Out conference and chairman of the board for Exodus International North America, was spotted visiting a Washington, D.C. gay bar in September 2000.	False	test
wikipedia6905430_Chris Buttars_2	"In a January 2009 interview with openly gay documentary filmmaker Reed Cowan, for the documentary 8: The Mormon Proposition, Buttars said that gays and lesbians were ""the greatest threat to America going down,"" comparing members of the LGBT community to radical Muslims."	False	train
wikipedia43314335_Manjam.com_2	In countries where many LGBT people experience abuse, discrimination, honor killings, and murder, a recent survey of gay Iraqis by Michael Luongo found that Manjam is one of the most frequently used websites to facilitate social interaction.	False	train
wikipedia6239708_Kyle Hawkins_1	Hawkins was named the first openly gay man coaching an intercollegiate men's team sport by ESPN.	False	train
wikipedia6270464_Scott Long_27	"Long documented collusion between police and violent right-wing extremists, and ""evidence that the police lured the lesbian and gay activists... to be beaten, then selectively jailed."""	False	test
wikipedia594703_Religion in Canada_1	"This high commitment would seem to translate into the kind of political power evangelicals in the United States enjoy but despite Canada's historically Christian background as Lori Beaman notes neatly ""...[forming] the backdrop for social process"" explicit religiosity appears to have not effectively moved the government towards legal discrimination against gay marriage."	False	dev
wikipedia26338571_Contempo: A Review of Books and Personalities_0	Buttitta later moved to Asheville, where he associated with author F. Scott Fitzgerald, an experience he recorded in his books, After the Good Gay Times and The Lost Summer: a Personal Memoir of F. Scott Fitzgerald Though short-lived, the magazine published many notable writers, including:.	False	test
wikipedia2662425_Boy Scouts of America membership controversies_32	"On May 22, the sitting president of the BSA, Wayne M. Perry, published an op-ed ""Let in gay boys"" urging passage of the resolution."	False	train
wikipedia1687680_Pope Francis_9	"On 2 October 2016, Pope Francis spoke in favor of pastoral care for and including transgender Catholics in the church, stating priests should ""accompany them spiritually"" and that they should never be turned away, even if they have undergone gender transition and sex-reassignment operations."	False	test
wikipedia47672825_Jay Bell (writer)_0	In 2012, Something Like Summer was included in Amazon's Best Books of 2011: Gay & Lesbian list, and nominated for to the 24th Lambda Literary Awards in the category of Gay Romance.	False	test
wikipedia5737851_Manvendra Singh Gohil_12	Lakshya won the Civil Society Award 2006 for its contribution in preventing HIV/AIDS among homosexual men.	False	dev
wikipedia299078_Gloria Steinem_4	National Gay Rights Advocates Award.	False	train
wikipedia263380_Homosexuality and psychology_21	For example, a Catholic mother of a gay man shared that she focuses on “the greatest commandment of all, which is, love.” Similarly, a Methodist mother referenced Jesus in her discussion of loving her gay son, as she said “I look at Jesus’ message of love and forgiveness and that we’re friends by the blood, that I don’t feel that people are condemned by the actions they have done.” These religious values were similarly expressed by a Mormon father who shared the following during his discussion of the biblical prohibition against homosexuality, “your goal, your reason for being, should be to accept and to love and to lift up .	False	dev
wikipedia47534418_LGBT conservatism in the United States_15	Among various items, Tafel demanded there be no gay bashing in the speeches from the podium of the 1996 Republican National Convention, nor any anti-homosexual signs on the convention floor.	False	train
wikipedia4611451_Gender variance_16	Lesbian and bisexual women, being less concerned with attracting men, may find it easier to reject traditional ideals of womanhood because social punishment for such transgression is not effective, or at least no more effective than the consequences of being openly gay or bisexual in a heteronormative society (which they already experience).	False	train
wikipedia9111397_City of London and Westminster South by-election, 1977_0	"Peter Mitchell stood under the banner ""Pro-Homosexual Civil Rights""."	False	train
wikipedia5741883_Compton's Cafeteria riot_1	The Tenderloin location of Compton's at 101 Taylor Street (at Turk)—open from 1954 to 1972—was one of the few places where transgender people could congregate publicly in the city, because they were unwelcome in gay bars, due to transphobia within the LGBT Community at this time.	False	train
wikipedia39137142_St. Sukie de la Croix_3	In the early 1980s de la Croix switched his attention and began writing for a number of Britain's LGBT publications: Gay Times, Vada, Capital Gay, and the Pink Paper.	False	train
wikipedia46256740_Nontraditional Love_4	As it is the case in earlier examples of homosexual domination, at least from “The Crooked Man” onwards, the heterosexual male hero-victim in this novel must come to terms with the fact that he is a member of a rejected minority, from which he and his female partner must hide their love through family arrangements with fellow-minded and orientated couples.	False	train
wikipedia9845973_Twisted (1996 film)_0	The film won the Audience Prize at the 12th Turin Gay and Lesbian Film Festival.	False	train
wikipedia40649260_The Arts of War and The Arts of Peace_0	"The word ""dykes"" (a derogatory term for lesbian) was spray-painted onto the granite."	False	train
wikipedia52466019_Gold star lesbian_0	Gold star lesbian is a term used by the LGBT community to describe a lesbian who has never had a romantic or sexual relationship with a man.	False	dev
wikipedia47741838_Marvin Gay Sr._39	When Gay Sr. did enter, his son, angry, despondent, and heavily intoxicated, shoved his father into the hallway, then hit him.	False	test
wikipedia195306_Harvey Milk_22	An organizer asked Milk for assistance with gay bars; in return, Milk asked the union to hire more gay drivers.	False	test
wikipedia28833_Sir Gawain and the Green Knight_2	However, while the poem does have homosexual elements, these elements are brought up by the poet in order to establish heterosexuality as the normal lifestyle of Gawain's world.	False	train
wikipedia33728343_Mister Gay Chile_22	The jury was composed of Marco Enríquez-Ominami, Oliver Leleux (owner of Gay Fone), the president of MOVILH, Rolando Jiménez, Latin America correspondent for Rolling Stone magazine, Morten Andersen, the representative of Amnesty International, Patricio Quevedo, the president of Chile Gay Sports, Ricardo León and the presidente of the Social Action Center for Diversity, Ricardo Santos.	False	train
wikipedia33264731_Gay Gallanta_1	Gay Gallanta is a chestnut mare, bred in Kentucky by Flaxman Holdings Ltd, the American breeding division of the Niarchos family's racing interests.	False	train
wikipedia145640_The Gospel According to St. Matthew (film)_0	Given Pasolini's well-known reputation as an atheist, a homosexual, and a Marxist, the reverential nature of the film came as a surprise, especially after the controversy of La ricotta.	False	test
wikipedia5401211_Cruisin' (Village People album)_0	Its name carries a double meaning: it may mean just driving around or gay cruising.	False	dev
wikipedia1496790_Boys Life (film)_0	Boys Life is a compilation of three 30-minute short subject films about being gay in America.	False	dev
wikipedia22022151_Akron Community Foundation_0	Notable funds include the Women’s Endowment Fund, Gay Community Endowment Fund, Medina County Community Fund, Medina County Women's Endowment Fund, Millennium Fund for Children, Bath Community Fund and the Vernon L. Odom Fund, which is named for the late leader of the Akron Urban League.	False	train
wikipedia12967237_Elana Dykewomon_5	The Fourth Daughter’s Four Hundred Questions, Nice Jewish Girls: A Lesbian Anthology.	False	train
wikipedia21734560_Hosanna (play)_0	"The story takes place in the Montreal, Quebec apartment of Hosanna, a drag queen dressed as Elizabeth Taylor's Cleopatra, and centres on the relationship between her and Cuirette, an aging ""stud"" and homosexual biker after they have returned from a Halloween party."	False	train
wikipedia53541714_John Raspado_1	Gay World Philippines, he was the grand champion of ABS-CBN's It's Showtime: I Am Pogay contest.	False	train
wikipedia36705228_Sandon Berg_1	United Gay Network was fully established in 2002 and its first long feature film was Gone, But Not Forgotten, a groundbreaking gay film that explores the question of sexuality as a choice.	False	train
wikipedia25228514_Joe Perez_3	The Gay Spirit Summit was a gathering of gay men identified as leaders or change agents seeking to shift consciousness in the gay community and raise visibility of transformational experiences in order to change the conversation about what it means to be gay.	False	train
wikipedia26193200_Charl Van Den Berg_5	Gay South Africa, it is my aim to help break down stereotypes and differing mindsets in the global community and promote oneness and equality for all people by bridging the gap between those mindsets.	False	train
wikipedia21378368_Bisexuality_25	"In Scientific American Mind, the scientist Emily V. Driscoll stated that homosexual and bisexual behavior is quite common in several species and that it fosters bonding: ""The more homosexuality, the more peaceful the species""."	False	train
wikipedia5492268_Ego-dystonic sexual orientation_26	"Evergreen International did not advocate or discourage particular therapies and states that ""therapy will likely not be a cure in the sense of erasing all homosexual feelings."""	False	dev
wikipedia9935387_Leanne Harte_0	In June 2010, Harte came out as a lesbian.	False	dev
wikipedia47886234_Deon Lotz_0	Beauty won the Queer Palm Award at the 2011 Cannes Film Festival and was the first Afrikaans-language film to be screened at Cannes.	False	train
wikipedia21526738_The Best American Essays_0	1987: Gay Talese.	False	train
wikipedia42957488_International Film Festival and Forum on Human Rights_0	GRAND PRIZE of the World Organization Against Torture (OMCT): Global Gay, by Frédéric Martel and Rémi Lainé	False	train
wikipedia1323182_Mount Gay Rum_15	In the Bridgetown area, Mount Gay maintains the Mount Gay Rum Visitors Centre on the Spring Garden Highway in Brandons, St. Michael.	False	test
wikipedia22941297_LGBT clergy in Christianity_24	The Reformed Church in America is another reformed denomination in the US with gay clergy serving congregations.	False	train
wikipedia35857134_Write Me Back_0	Donna E. Gay – choir / chorus.	False	train
wikipedia1323182_Mount Gay Rum_21	Mount Gay Silver Eclipse.	False	train
wikipedia44122_American Beauty (1999 film)_12	"Ball's inspiration for the characters came from a thought he had after seeing a ""bland, boring, heterosexual couple"" who wore matching clothes: ""I can't wait for the time when a gay couple can be just as boring."""	False	dev
wikipedia42736680_Syboll Nation_2	In those days being gay wasn't tolerated.	False	train
wikipedia20233866_Nao Oikawa_0	Another Side of Nao Oikawa 2, was even more hardcore with lesbian strap-on sex, forced fellatio and vomiting, multiple partner fellatio and vibrator play.	False	train
wikipedia39182782_Honey Mahogany_1	Mulugeta has also been involved in a number of theatrical productions, including Queer Rebels of the Harlem Renaissance, Dirty Little Showtunes, Oprah: The Dragsical (in which he held the title role), Halloween: The Ballad of Michelle Meyers, and the collaborative drag/performance art show Work MORE!	False	dev
wikipedia10662865_Concord-Carlisle High School_0	The school supports a political journal (The Third Wing), moot court, Spectrum: Gay/Straight Alliance, Dance Club, The Voice (newspaper), Reflections (a literature and art review) and high school radio station (WIQH 88.3 FM), among others.	False	train
wikipedia1140407_The Incredible Hulk (1978 TV series)_0	"According to both Stan Lee and Lou Ferrigno, it was also changed because CBS thought the name Bruce sounded ""too gay-ish"", a rationale that Ferrigno thought was ""the most absurd, ridiculous thing [he had] ever heard""."	False	train
wikipedia6118686_History of lesbianism in the United States_13	For example, The Stone Wall, a lesbian autobiography with an unhappy ending, was published in 1930 under the pseudonym Mary Casal.	False	dev
wikipedia27304018_Claude J. Summers_2	Among the topics he has written about have been the jurisprudence of Supreme Court Justice Anthony Kennedy, essayist Joseph Epstein, and America's openly gay ambassadors.	False	dev
wikipedia54198905_Dečki: roman iz dijaškega internata_2	One of them is given by Andrej Zavrl, who points out that the novel didn't go beyond a traditional portrayal of homosexuality, which demands ending with death or with a heterosexual relationship for gay characters.	False	dev
wikipedia32050782_Seyyal Taner_0	Taner has many gay fans and is considered a Turkish gay icon.	False	train
wikipedia1942372_Rituparno Ghosh_0	He was one of the few openly gay figures in Indian cinema and was considered an icon of the LGBT community of India.	False	train
wikipedia32698917_LGBT history in China_28	On 25 August 2009, after police crackdown on gay meeting places in Guangzhou, about 100 gay men publicly protested in the People's Park, a popular hangout for gays.	False	train
wikipedia18576261_Heterosexual–homosexual continuum_2	This continuum was an important influence on the feminist and gay-rights movements of the 1970s and 1980s as academics and movement leaders tried to distinguish between one's sex—e.g.	False	train
wikipedia3203007_Newport High School (Bellevue, Washington)_0	Newport High School hosts a variety of clubs, including language/culture clubs in Spanish and Chinese, as well as a branch of the National Honor Society, Gay-Straight Alliance, Debate, Junior Statesmen of America, DECA, Key Club, a community-service organization called ACE, a robotics club known as NRG(Newport Robotics Group), a math club, a snowboarding club called Snow Riders, a sports debating club called Sports Debate Club, a Jewish club, break dancing club, a speech and debate club and Forensics team, and anime club.	False	train
wikipedia171528_Woody Harrelson_0	In 2007 he played Carter Page III, gay escort of privileged Washington D.C. women, in the film The Walker.	False	train
wikipedia27203014_Burt Hummel_2	However, later on Burt is also disappointed with Kurt when he finds out from Carole that Kurt's ulterior motive for setting them up was so he could get closer to Finn, and that while he accepts him for being gay, he does not accept him pursuing a straight boy who he knows does not feel the same way.	False	test
wikipedia24270263_The Outrage (Marcus Welby, M.D.)_2	"ABC sent the preliminary script for ""The Outrage"" to Ronald Gold, media director for the newly formed National Gay Task Force (NGTF), in July 1974."	False	train
wikipedia9480509_LGBT rights in Colombia_2	In 1998, the Constitutional Court ruled that public school teachers cannot be fired for revealing their sexual orientation, nor can private religious schools ban gay students from enrolling.	False	train
wikipedia3797637_TransGeneration_16	"In a 2005 essay published in the online journal Flow, Shana Agid, a transgender student at Sarah Lawrence College, wondered whether programs like TransGeneration ""take away from other possibilities for change"" if—in an effort to make queer subject matter ""straight-friendly"" and ""consumable""—they only represent transgender people who fit a certain narrative and adhere to a gender binary."	False	train
wikipedia321349_Judy Grahn_2	"At twenty-one she was discharged (in a ""less than honorable,"" manner, she stated) for being a lesbian."	False	test
wikipedia2420061_Kanako Otsuji_0	In May 2013, after her party member of the House resigned, Otsuji became the nation's first openly homosexual member of the Diet, but her term in office expired in July.	False	train
wikipedia775871_Wind quintet_1	Bottje, Will Gay, Diversions, for quintet, narrator and piano; text by James Thurber (1994).	False	dev
wikipedia22639011_Marinara (TV series)_0	Mel Martinez as Syoque - Dolphina’s gay bestfriend.	False	dev
wikipedia1949029_Grace Adler_3	Several of her boyfriends – such as Will himself, and her second-season boyfriend Josh – ended up gay or bisexual, and she has a recurring fear that this will happen again.	False	train
wikipedia16183379_Fairytale of Kathmandu_1	The film was awarded second place in the International Documentary Competition at Documenta Madrid in May 2008, and it won the Best Director (Documentary) award for Ní Chianáin at the 13th Ourense International Film Festival in October 2008, and the Film Critics Jury Prize for Best Documentary at the Barcelona Gay & Lesbian Festival, also in October 2008.	False	train
wikipedia38762725_De todas maneras Rosa_0	She meets Luis Enrique (Antonio Delli), a homosexual who hires her to pretend to be his girlfriend in front of his family and friends so that he can show his father that he is a macho man.	False	train
wikipedia265500_Presbyterian Church in America_3	"Hence, in condemning homosexual practice we claim no self-righteousness, but recognize that any and all sin is equally heinous in the sight of a holy God."""	False	dev
wikipedia35854041_Tel Aviv Pride_1	"Tel Aviv was the first location in Israel where ""gay"" events were organised and also the first city in Israel to host a gay pride parade."	False	train
wikipedia3770119_Roman Catholic Archdiocese of Hobart_0	The complaint was filed by a transgender activist and Federal Greens candidate Martine Delaney.	False	train
wikipedia4575_Ballad_3	John Gay and the London Theatre.	False	train
wikipedia144633_Counterculture_15	The watershed event in the American gay rights movement was the 1969 Stonewall riots in New York City.	False	train
wikipedia157313_Judith Reisman_1	"She estimated the homosexual population at the time to be 1-2%, but she predicted at least 20% (and possibly over 30%) ""of the young population will be moving into homosexual activity"" as a result of recruitment."	False	dev
