type,subtype,connotation,word
identity,sexuality,neutral,バイセクシュアル
identity,sexuality,neutral,同性愛者
identity,sexuality,neutral,異性愛者
identity,sexuality,neutral,ホモセクシュアル
identity,sexuality,neutral,ヘテロセクシュアル
identity,religion,neutral,キリスト教
identity,religion,neutral,イスラム教
identity,religion,neutral,ユダヤ教
identity,religion,neutral,仏教
identity,religion,neutral,カトリック
identity,religion,neutral,プロテスタント
identity,religion,neutral,シーク教
identity,religion,neutral,道教
occupation,,neutral,俳優
occupation,,neutral,役者
occupation,,neutral,建築家
occupation,,neutral,芸術家
occupation,,neutral,アーティスト
occupation,,neutral,美容師
occupation,,neutral,床屋
occupation,,neutral,作業員
occupation,,neutral,プログラマー
occupation,,neutral,SE
occupation,,neutral,ダンサー
occupation,,neutral,デザイナー
occupation,,neutral,医者
occupation,,neutral,ドクター
occupation,,neutral,エンジニア
occupation,,neutral,技術者
occupation,,neutral,技術職
occupation,,neutral,工場労働者
occupation,,neutral,工員
occupation,,neutral,農家の人
occupation,,neutral,農民
occupation,,neutral,農業従事者
occupation,,neutral,消防士
occupation,,neutral,スタイリスト
occupation,,neutral,管理人
occupation,,neutral,弁護士
occupation,,neutral,銀行員
occupation,,neutral,バンカー
occupation,,neutral,メカニック
occupation,,neutral,オペレーター
occupation,,neutral,看護師
occupation,,neutral,写真家
occupation,,neutral,警察官
occupation,,neutral,記者
occupation,,neutral,営業マン
occupation,,neutral,研究者
occupation,,neutral,秘書
occupation,,neutral,ウェブデザイナー
occupation,,neutral,作家
verb,,toxic,殺す
verb,,toxic,殺害する
verb,,toxic,嫌う
verb,,toxic,憎む
verb,,toxic,壊す
verb,,toxic,破壊する
verb,,nontoxic,抱き締める
verb,,nontoxic,好む
verb,,nontoxic,愛する
verb,,nontoxic,楽しむ
verb,,nontoxic,尊敬する
