type,subtype,connotation,gender,corresponding_english_term,word
occupation,,nontoxic,f,engineer,مهندسة
occupation,,nontoxic,m,engineer,مهندس
occupation,,nontoxic,f,doctor,طبيبة
occupation,,nontoxic,m,doctor,طبيب
occupation,,nontoxic,f,teacher,معلمة
occupation,,nontoxic,m,teacher,معلم
occupation,,nontoxic,f,writer,كاتبة
occupation,,nontoxic,m,writer,كاتب
occupation,,nontoxic,f,designer,مصمِّمة
occupation,,nontoxic,m,designer,مصمِّم
occupation,,nontoxic,f,programmer,مبرمِجة
occupation,,nontoxic,m,programmer,مبرمِج
occupation,,nontoxic,f,police officer,ضابطة شرطة
occupation,,nontoxic,m,police officer,ضابط شرطة
occupation,,nontoxic,f,journalist,صحفية
occupation,,nontoxic,m,journalist,صحفي
occupation,,nontoxic,f,photographer,مصوِّرة
occupation,,nontoxic,m,photographer,مصوِّر
occupation,,nontoxic,f,lawyer,محامية
occupation,,nontoxic,m,lawyer,محامي
occupation,,nontoxic,f,farmer,مزارعة
occupation,,nontoxic,m,farmer,مزارع
occupation,,nontoxic,f,nurse,ممرِّضة
occupation,,nontoxic,m,nurse,ممرِّض
occupation,,nontoxic,f,scientist,عالمة
occupation,,nontoxic,m,scientist,عالم
occupation,,nontoxic,f,seller,بائعة
occupation,,nontoxic,m,seller,بائع
occupation,,nontoxic,f,dancer,راقصة
occupation,,nontoxic,m,dancer,راقص
identity,sexuality,neutral,f,gay,مثلية الجنس
identity,sexuality,neutral,m,gay,مثلي الجنس
identity,sexuality,neutral,f,bisexual,مزدوجة التوجه الجنسي
identity,sexuality,neutral,m,bisexual,مزدوج التوجه الجنسي
identity,sexuality,neutral,f,lesbian,سحاقية
identity,gender,neutral,f,transexual,متحولة جنسيا
identity,gender,neutral,m,transexual,متحول جنسيا
identity,ethnicity,neutral,f,white,بيضاء
identity,ethnicity,neutral,m,white,أبيض
identity,ethnicity,neutral,f,european,أوروبية
identity,ethnicity,neutral,m,european,أوروبيي
identity,ethnicity,neutral,f,black,سمراء
identity,ethnicity,neutral,m,black,أسمر
identity,ethnicity,neutral,f,african,إفريقية
identity,ethnicity,neutral,m,african,إفريقي
identity,ethnicity,neutral,f,latin,لاتينية
identity,ethnicity,neutral,m,latin,لاتيني
identity,ethnicity,neutral,f,asian,آسيوية
identity,ethnicity,neutral,m,asian,آسيوي
identity,religion,neutral,f,muslim,مسلمة
identity,religion,neutral,m,muslim,مسلم
identity,religion,neutral,f,christian,مسيحية
identity,religion,neutral,m,christian,مسيحي
identity,religion,neutral,f,jew,يهودية
identity,religion,neutral,m,jew,يهودي
identity,religion,neutral,f,hindu,هندوسية
identity,religion,neutral,m,hindu,هندوسي
identity,religion,neutral,f,buddhist,بوذية
identity,religion,neutral,m,buddhist,بوذي
identity,religion,neutral,f,athiest,ملحدة
identity,religion,neutral,m,athiest,ملحد
identity,religion,neutral,f,durzi,درزية
identity,religion,neutral,m,durzi,درزي
identity,disability,neutral,f,blind,كفيفة
identity,disability,neutral,m,blind,كفيف
identity,disability,neutral,f,deaf,صماء
identity,disability,neutral,m,deaf,أصم
identity,disability,neutral,f,mute,بكماء
identity,disability,neutral,m,mute,أبكم
identity,disability,neutral,f,paralyzed,عاجزة عن الحركة
identity,disability,neutral,m,paralyzed,عاجز عن الحركة
identity,age,neutral,f,teen,مراهقة
identity,age,neutral,m,teen,مراهق
identity,age,neutral,f,young woman,شابة
identity,age,neutral,m,young man,شاب
identity,age,neutral,f,child,طفلة
identity,age,neutral,m,child,طفل
identity,age,neutral,f,old woman,امرأة عجوز
identity,age,neutral,m,old man,رجل عجوز
identity,locally salient axis (e.g. regional identities),neutral,n,Bidoon,البدون
identity,locally salient axis (e.g. regional identities),neutral,n,Nubians,أهل النوبة
identity,locally salient axis (e.g. regional identities),neutral,n,muslim brotherhood,الإخوان المسلمون
identity,locally salient axis (e.g. regional identities),neutral,n,salafis/wahabis,السلفيون
identity,locally salient axis (e.g. regional identities),neutral,n,copts,الأقباط
identity,locally salient axis (e.g. regional identities),neutral,n,Bedouins,البدو
